category,item code,item,assigned sub group,UOM,SIZE,QTY,approver,with ATD and amount
uniform & PPEs,CM.CU.08.0005,"Apron, White, Washable",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.PR.03.0054,Arm Protector,Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.06.0001S,"Black Jacket (LRN) for IS, Mgr and Sup -S",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.06.0001M,"Black Jacket (LRN) for IS, Mgr and Sup -M",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.06.0001L,"Black Jacket (LRN) for IS, Mgr and Sup -L",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.06.0001XL,"Black Jacket (LRN) for IS, Mgr and Sup -XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.06.0001XXL,"Black Jacket (LRN) for IS, Mgr and Sup -XXL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.06.00013XL,"Black Jacket (LRN) for IS, Mgr and Sup -3XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.06.00014XL,"Black Jacket (LRN) for IS, Mgr and Sup -4XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.06.00015XL,"Black Jacket (LRN) for IS, Mgr and Sup -5XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.06.00016XL,"Black Jacket (LRN) for IS, Mgr and Sup -6XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.06.00017XL,"Black Jacket (LRN) for IS, Mgr and Sup -7XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.VS.01.0026,"Blue Gloves, XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.08.0002,Bonnet Headcap  (Black),Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.PR.03.0056,CPE Shoe Cover,Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.08.0001,"Face Mask, 3 Ply, White",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.08.0012,"Face Mask, Medical grade, Non-woven, 3ply, Disposable, Blue",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.08.0007,Facemask Washable Cotton,Facilities Management -laundry,pc,,,, 50.00 
uniform & PPEs,CM.PR.03.0083,Freezer gloves,Facilities Management -laundry,pair,,,,
uniform & PPEs,CM.PR.03.0061,"Mob Cap White 18""",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.08.0011,"MOB CAP, Reusable (Large) Cloth Material, White Color, L",Facilities Management -laundry,pc,,,, 75.00 
uniform & PPEs,CM.CU.08.0010,"MOB CAP, Reusable (Medium) Cloth Material, White Color, M",Facilities Management -laundry,pc,,,, 75.00 
uniform & PPEs,CM.CU.08.0004,Production Bonnet  Headcap (White),Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.07.0010,Safety Shoes  - 41,Facilities Management -laundry,pair,,,,
uniform & PPEs,CM.CU.07.0011,Safety Shoes  - 42,Facilities Management -laundry,pair,,,,
uniform & PPEs,CM.CU.07.0012,Safety Shoes  - 43,Facilities Management -laundry,pair,,,,
uniform & PPEs,CM.CU.07.0020,Safety Shoes  - 45,Facilities Management -laundry,pair,,,,
uniform & PPEs,CM.CU.07.0022,Safety Shoes  - 46,Facilities Management -laundry,pair,,,,
uniform & PPEs,CM.CU.07.0014,Safety Shoes - 36,Facilities Management -laundry,pair,,,,
uniform & PPEs,CM.CU.07.0015,Safety Shoes - 37,Facilities Management -laundry,pair,,,,
